# recollida de punts 16/01/2015
const int THRESHOLD = 5;
const int SENSOR_COUNT = 6;<	
const unsigned long TIMEOUT_BETWEEN_HITS = 100000; // in millis

(6,6)
hit: {2806:7 1021:5 555:5 1425:5 0:14 2668:6 l}
hit: {2775:8 1063:8 629:7 1358:5 0:13 2614:6 l}
hit: {2819:7 1076:6 616:8 1429:5 0:9 2682:7 l}
hit: {2794:7 1077:9 561:8 1364:5 0:12 2596:6 l}
hit: {2851:7 1078:7 553:7 3634:5 0:10 2618:5 l}
hit: {2835:8 1123:10 548:8 1479:6 0:7 2514:6 l}
hit: {2858:7 1078:5 553:8 6209:5 0:9 2627:7 l}
hit: {2821:8 1070:5 667:8 1494:6 0:7 2732:5 l}
hit: {2743:7 1030:7 592:6 1366:5 0:16 2605:6 l}
hit: {2865:6 1069:5 566:9 1553:5 0:14 2640:7 l}
hit: {2900:5 1190:8 593:7 1665:5 0:5 2701:7 l}
hit: {2758:7 1043:6 603:7 1386:6 0:12 2552:6 l}
hit: {2915:8 1134:6 554:5 1613:5 0:7 2654:7 l}
(54,42)
hit: {3068:6 1457:7 1079:8 1479:5 0:6 1374:5 l}
hit: {3082:5 1450:5 1081:7 3622:5 0:6 2183:7 l}
hit: {3078:6 1512:9 1054:6 1660:5 0:7 2150:6 l}
hit: {3116:8 1468:7 1092:8 3685:6 0:6 1325:5 l}
hit: {3107:8 1483:11 1048:6 3589:5 0:8 1273:5 l}
hit: {3077:7 1480:12 1080:10 3374:5 0:8 2130:7 l}
hit: {3071:8 1456:7 1016:6 1546:5 0:7 2207:8 l}
hit: {3106:9 1498:12 1097:9 3472:5 0:7 1329:5 l}
hit: {3120:6 1477:5 1088:5 3653:5 0:5 2196:7 l}
hit: {3068:5 1498:10 1062:5 3733:5 0:5 2198:6 l}
hit: {2659:6 1107:5 619:5 5506:5 0:5 1793:5 l}
hit: {3050:6 1453:5 1012:6 5789:5 0:6 2191:6 l}
hit: {3089:6 1491:6 1051:5 3688:5 0:5 2179:5 l}
hit: {3120:9 1469:7 1093:8 3544:5 0:5 2218:6 l}
hit: {3116:10 1471:11 1036:5 3624:5 0:7 1328:5 l}
hit: {3140:10 1518:13 1113:9 3507:5 0:5 1349:5 l}
hit: {3079:5 1494:9 1049:5 3674:6 0:6 2184:7 l}
